product_title,cantidad_reseñas,promedio_score
Andis 21420 Pro-Animal Detachable Ceramic Blade Clipper Kit,226,4.1
Petmate Le Bistro Waterer with Microban,225,4.07
KONG Air Dog Squeaker Dumbbell Dog Toy,220,3.21
Wellness Canned Cat Food,219,4.21
The Da Bird Value Pack (Includes 1 Da Bird Original Single 3 Foot Pole Cat Toy & 2 Replacement Feathers),219,4.6
Kong Zoom Groom For Cats,213,4.38
SmartCat 3833 Peek-a-Prize Pet Toy Box,211,3.83
LitterMaid LM500 Automated Litter Box,210,3.04
Birdscapes Clear Window Feeder,210,3.9
"Innotek Automatic No-Bark Dog Collar, BC-50B.",210,3.33
Kong Goodie Bone,210,3.72
"Richell Wood Freestanding Pet Gate, Large, Autumn Matte Finish",205,4.61
"Yeowww! Catnip Toy, Yellow Banana",204,4.36
Super Pet CritterTrail Extreme Challenge Habitat,204,2.84
"AKC Water Fowl Dog Toy, Small",202,4.07
"AKC Duck Puppy Toy, Small",202,4.07
"AKC Hedgehog Dog Toy, Large",202,4.07
"Comfort Zone with Feliway for Cats Diffuser Refill, 48 Milliliters",200,4.24
K&H 9000 Ice Eliminator BirdBath 50-Watt De-Icer,198,4.33
API Freshwater Master Test Kit,198,4.57
PetSafe Pet Door Replacement Flap,197,4.45
Solvit 62314 Waterproof Hammock Seat Cover for Pets,197,4.19
"StarMark Training Collar, Large, Blue",194,3.71
Wire Rake Scooper for Grass,193,4.42
"LitterMaid LM700 Self-Cleaning Automatic Litter Box, Sage and Cream",190,3.08
5 pack of Litter Locker Plus Refill Cartridge,189,4.7
TeleBrands Deluxe Doggy Steps,188,3.7
"Victor M231 Ultimate Flea Trap Refills, Pack of 3",186,3.88
"Kong Catnip Cat Toy, Squirrel",184,4.34
Midwest Quiet Time Fashion Pet Bed,184,4.17
Four Paws Cotton Web Lead,184,4.17
"Aspects 367 Hummzinger Ultra Hummingbird Feeder, 12-Ounce",184,4.6
Lupine Designer Combo Dog Collar,184,4.76
"Petmate 22501 LitterLocker Plus with Microban, White/Planet Blue",184,4.06
"Grannick's Bitter Apple for Dogs Spray Bottle, 16 Ounces",184,3.51
Perky-Pet 7103-2 Copper Triple Tube Bird Feeder,184,3.73
"Kyjen PP01055 Hide-A-Bee Pet Toy, Large",182,4.32
JW Pet Hol-ee Roller Dog Toy,178,3.88
"PetSafe Yard-and-Park RemoteTrainer, PDT00-10603",177,4.21
Pet Gear Easy Step III,175,4.13
"PetSafe Heated Wellness Sleeper, Small, Hunter Green/Sand",175,4.22
Richell One-Touch Adjustable Pet Gate,174,4.63
Perky Pet Hummingbird Pinch Waist Glass Bird Feeder,173,4.29
Musher's Secret,172,4.51
Chuckit! Ball Launcher,171,4.51
Buster Food Cube Interactive Dog Toy (Colors Vary),170,3.68
Nature's Miracle Stain and Odor Remover,168,4.12
"Cadet Large Bull Stick Dog Chew, 1-Pound",167,3.64
"West Paw Design Zogoflex Dog Toy, Hurley, Large (Colors Vary)",167,4.34
Charming Party Collar,165,4.09
"Petmate 22040 Giant Litter Pan, Bleached Linen",165,4.82
"DVM Synovi G3 Soft Chews, 120 Chews",164,4.48
"Tetra ReptoMin Sticks, Reptile Food",162,4.83
LitterMaid Cat Privacy Tent,161,2.5
Chuckit! Classic 26M Launcher (Colors Vary),160,4.78
"Litter Robot LRII Automatic Self-Cleaning Litter Box, Black",160,4.3
Cloud Star's Buddy Wash Original Lavender & Mint 2 in 1 Shampoo + Conditioner - 16 ounce,159,4.52
Wellness Super5Mix Dry Dog Food,159,4.32
Treat Dispensing Chew Ball,159,4.31
Everholder FURemover Broom,159,3.86
Nylabone Galileo Bone Dog Chew Toy,159,4.42
"PetzLife Oral Care Spray, Peppermint, 2.2 ounces",158,3.96
Jolly Pet Push-n-Play,158,3.92
Stainless Steel Pet Coop Cup,157,3.82
PetSafe Telescoping Aluminum Wall Entry Pet Door,156,4.01
"Walk Over Wooden Gate (30-44"" W, 18"" H)",156,4.01
K&H Kitty Sill Deluxe,155,4.31
Premier Squirrel Dude Dog Toy,155,4.15
North States Supergate Extra Wide Swing Gate,155,3.66
"Alaskan Bear Treats All Natural Wild-Alaskan Salmon Oil for Dogs, 8 Ounces",153,4.58
Simple Solution Washable Male Wrap,153,3.72
GMI Keepsafe Expansion Gate,153,4.48
Catit Fresh & Clear Drinking Fountain for Cats and Puppies,151,3.74
Kyjen Outward Hound Sling-Go Pet Sling Carrier,150,3.79
"Pet Dreams Classic Cratewear Set, 3-Piece",148,4.21
"Nite Ize NND-03-19S Nite Dawg Light Up Dog Collar, Red Led Orange Webbing, Small",148,4.34
K&H Lectro Kennel Heated Pad with Free Fleece Cover,147,3.67
EHEIM Classic External Canister Filter with Media,146,4.37
Cardinal Laboratories Crazy Pet Bumble Ball (Various Colors),145,3.01
"PetSafe Deluxe Bark Control Collar, PDBC-300",144,3.68
Flexi Classic 3 Large 16-Foot Retractable Leash,144,3.75
Petmate Kennel Cab Intm Moss Bank Coffee Grnds S,143,4.03
Canidae Dry Dog Food for All Life Stages,142,3.77
"Tape Worm Tabs Feline (Praziquantel) 23 mg, 3 Tablets",142,4.66
Lazy Pet Poop Patrol Jaw Scoop,142,4.06
Ethical Pet Spotbrites Laser Pet Toy and Exerciser,141,3.44
Zuke's Hip Action Natural Dog Treats,140,4.76
JW Pet Bad Cuz Rubber Dog Toy,139,4.06
Safari Flea Comb with a Double Row of Teeth,138,4.39
Oster Pet Nail Grinder,138,3.96
KONG Ball Dog Toy,137,4.53
"Petmate 25-Inch Burrow Bed, Navy Blue",137,4.24
"Tetra 77851 Whisper Air Pump, 10-Gallon",136,4.26
Brewers Yeast Tablets with Garlic,136,4.19
"ScoopFree Litter Tray Refills with Premium Blue Crystals, 3-Pack",136,3.96
PetSafe Extra Collar for Wireless Containment,136,4.25
KONG Extreme Kong Dog Toy,135,4.63
Multipet Nobbly Wobbly Ball Large Dog Toy,134,2.49
Majestic Pet- Super Value Pet Bed - Large,134,3.87
"K&H Heated Resting Mat for Small Animals, 9 By 12 Inches",132,4.57
MisterMaxAnti Icky Poo - 1 Gallon,132,4.39
Fashion Pet Shearling Boots,130,3.6
Doggles Dog Harness Dress,129,4.27
Hydor MINI HEATER Aquarium Heater 7.5 Watts for Tanks 2-5 gal,129,3.82
Kitty's WonderBox,129,4.57
"Petrodex Enzymatic Toothpaste Dog Poultry Flavor, 6.2-Ounce",128,4.76
Midwest Gold- Zinc Indoor/Outdoor Exercise Pet Pen,128,4.55
The Original Anxiety Wrap,128,3.58
Hyperflite K-10 Jawz Dog Disc,128,4.66
Rectangular Pillow Dog Bed,128,4.56
Nylabone Big Chews for Big Dogs,128,4.45
Gourmet Pet Refilling Water Dish,127,4.06
Catit Fresh and Clear Drinking Fountain for Cats and Dogs,126,3.72
"Ethical 3-1/2-Inch Pet Food Can Covers, 3-Pack",126,4.48
Jolly Pet Tug-n-Toss,126,3.77
"Da Bird Super Pack (Includes 1 Da Bird Original 36"" Single Pole Cat Toy, Feather Refill, Sparkly Attachment, Kitty Puff Attachment, and Peacock Feather)",125,4.7
PetSafe Staywell Pet Door with Clear Hard Flap,124,3.87
"Vet's Best Hairball Relief Digestive Aid, 60 Chewable Tablets",124,4.51
"Drinkwell 2-Chamber Replacement Filters for Drinkwell Original, 3 Filters",124,4.5
"Petrodex Dog Dental Care Kit, Toothpaste with 2 Toothbrushes",124,4.65
Buster Food Cube Large Size (Colors May Vary),123,3.91
Booda Floppy Disc,122,4.68
Panacur C Canine Dewormer,122,4.5
"Oster Professional Pet Grooming Undercoat Rake, 18 Teeth Wide, Coarse",121,4.77
"Adaptil, D.A.P (Dog Appeasing Pheromone) Collar for Medium to Large Dogs - 27.6""",121,3.38
Tape Worm Tabs for Cats (3 tablets),121,4.69
Fat Cat Kitty Hoots Big Mama's Scratchy Box Double Wide Purple,120,4.77
"World's Best 00098 Cat Litter, Clumping Formula",120,3.62
Double Action Chew Bone Dog Toy,119,4.3
Heritage Farms Vista Squirrel Proof Bird Feeder,119,3.92
Jolly Pet Teaser Ball,119,4.15
Wee-Wee Pads for Adult Dogs,118,3.78
K&H Thermo-Kitty Sill Seat,118,3.98
"Petmate Ultra Bubbler Watering System, Medium, Peacock Blue",118,3.6
Premier Busy Buddy Bouncy Bone Dog Toy,117,3.95
Super Pet My First Home for Rabbits,117,4.34
Ergo Auto Pet Feeder,117,3.34
Kaytee Aspen Bedding for Pets,116,4.21
Vittles Vault II 40-Pound Clear Base Cranite Top,116,4.38
"Van Ness CP7 Enclosed Cat Pan/Litter Box, Extra Large, colors are assorted",116,4.36
K&H 8001 Thermo-Pond 3.0 Floating Pond 100-Watt De-Icer,114,4.0
"Azodyl, 60 Capsules",114,4.13
"Feline Pine Original Cat Litter, 20-Pound Bag",114,3.66
Peter's Woven Grass Mat for Rabbits,114,4.39
Petmate Kennel Cab Fashion,114,3.75
Tattle Tale Sonic Pet Training Alarm,113,3.48
"CSF-3 Cat Super Feeder with Analog Timer, Stand and Bowl",113,4.63
Oster 78005-010 A5 Single-Speed Clippers Made In USA,113,4.14
Zoo Med 501 Turtle Canister Filter,113,3.57
"Precision Pet SnooZZy Sleeper Mat, Black",113,3.55
Petstages Cheese Chase Ball Track for Cat Toy,113,4.43
Wahl 4-Ounce Clipper Oil,112,4.64
Super Pet My First Home Tank Topper,112,3.81
Hartz Chew N' Clean Assorted Colors Dental Duo Toy and Edible Dog Chew,112,3.92
Kyjen Outward Hound Car Booster Seat,112,4.33
"Viralys (L-Lysine) Oral Gel For Cats, 5 oz",112,4.16
Simple Solution Spot Spotter Ultraviolet Urine Detector,112,3.4
"100 Pack GRIDLOCK 24"" x 24"" Puppy Dog Animal Training Wee Wee Pads",111,4.4
"Petmate Ultra Vari Kennel Fashion Pet Carrier, 26-Inch, For Pets 20-25 Pounds, Deer/Brown",111,3.22
Littermaid LMR300 Receptacles,111,3.7
KONG Teddy Bear Dog Toy,111,3.6
"Blue Dog Bakery Natural Low Fat Dog Treats, Assorted Flavors, 20-Ounce Boxes (Pack of 6)",110,4.62
Garden Song Glass Hummingbird Window Feeder,110,3.42
Majestic Pet-Majestic Bungalow Cat Tree,110,4.09
K&H Thermal Bowl,110,4.69
K&H Thermo Bird Perch,110,4.07
LAZY PET Deluxe Cat Window Perch Assorted Colors,110,3.84
Jolly Pet Romp-n-Roll,109,4.51
Safari De-Matting Comb for Dogs,109,4.59
Petmate Vari Kennel Ultra Fashion,109,4.01
Marina Floating Thermometer with Suction Cup,109,3.82
"Nutri-Pet Research Nupro Joint Supplement for Dogs, 5-Pound",108,4.67
"Nylabone Dura Chew Value Pack, Regular",107,4.33
"Midwest 142 Ferret Nation Double-Level Ferret Cage with Ramps, 36 Inches by 25 Inches by 62-1/4 Inches",107,4.73
Planet Dog Orbee-Tuff Orbee,107,3.89
Sojos Certified Organic Catnip,107,4.26
Dr. Noy's Sitting Frog Plush Dog Toy,106,3.93
KONG Stuff-A-Ball Dog Toy,106,3.88
"Cadet Rawhide Retriever Rolls Dog Chew, 20-Pack",106,4.44
Premier Pet Collar,104,4.49
Outdoor Feline Funhouse,104,4.57
"Sherpa 11721 Delta Pet Carrier, Medium, Black",103,4.22
"KIDS 'N' PETS Brand Stain & Odor Remover, two pack 32 fluid ounces (64 ounces total)",102,4.55
Evolution Grooming Undercoat Rake with Rotating Teeth,102,4.3
Kyjen I-Qube Puzzle Plush Interactive Dog Toy,102,4.12
Everlasting Treat Chicken,101,3.88
Coastal Holt Dog Walking Collar,101,3.93
"Prevue Hendryx 485 Pet Products Feisty Ferret Home with Stand, Black Hammertone",101,4.08
Solvit 62346 Deluxe Pet Booster Seat,101,4.28
"""Marineland Penguin 200B/350B/170B/330B Rite-Size C Filter Cartridge 6 pk """,100,4.79
Peter's Woven Grass Play Ball,100,4.42
Brake-Fast Dog Food Slow Feed Bowl - Small Red,100,4.17
Dog Toy Pet Stages Cool Teething Stick,100,3.81
North States Supergate Extra Wide Wire Mesh Gate,99,3.96
PetzLife Oral Care Gel Original Peppermint 4oz,99,4.06
Our Pets Signature Series,99,4.34
Sanitary Pooper Scooper,99,3.84
"Halo Liv-a-Littles Natural Treats for Dogs and Cats, Freeze-Dried Chicken Breast Protein",98,4.64
Pet Gear Happy Trails Stroller,98,4.36
"PetSafe Deluxe Little-Dog Bark Control Collar, PBC00-10782",98,2.52
JW Pet Good Cuz Rubber Dog Toy,98,3.81
Homestead 3201S Super Stop A Squirrel Wild Bird Feeder,98,4.29
Butler NutriSentials Lean Treats for Dogs,98,4.86
Perky-Pet 220 The Grand Master 48-Ounce Hummingbird Feeder,97,2.89
CatGenie Washable Granules,96,4.15
Kyjen Oakley the Octopus Junior Plush Pet Toy,96,4.19
Hagen Exo Terra Plastic Terrarium Plant,96,4.25
"Cat-Man-Doo Extra Large Bonito Flakes, 1-Ounce Container",96,4.47
Super Pet CritterTrail 2-Level Habitat,96,3.54
"Blue Dog Bakery Natural Low Fat Dog Treats, Peanut Butter & Molasses Flavor, 20-Ounce Boxes (Pack of 6)",95,4.68
"Kong Duck Dog Toy, Small, Yellow",94,3.85
"Super Pet Chinchilla 12-Inch Giant Silent Spinner Exercise Wheel, Colors Vary",94,3.32
Bagel Dog Bed,94,4.34
"Richell Wood Freestanding Pet Gate, High-Large, Autumn Matte Finish",93,4.6
"FieldTrainer for Stubborn Dogs, SD-400S by SportDOG",93,4.33
LitterMaid LMC100 Litter Box Carpet,93,4.18
Lixit Original Dog Faucet Waterer,92,4.29
"Pet-Tabs Plus AF (Advanced Formula), 365 ct. (Made in USA)",92,4.36
"Innotek Basic In-Ground Pet Fencing System, SD-2000",91,3.89
Avant Garden 8110-3 Looking Glass Hummingbird Feeder,91,3.85
"Petmate Deluxe Fresh Flow Pet Fountain, Medium, Black",91,3.14
Anti Icky Poo Odor Remover Quart with Sprayer,91,4.22
"PetSafe Stubborn Dog In-Ground Fence, PIG00-10777",91,4.11
Petmate Pet Taxi Fashion Kennel,91,4.26
Wesco Pet Kabob Shreddable Bird Toy,90,4.52
Garden Song 101-4 Dine Around Window Bird Feeder,90,3.52
"KIDS 'N' PETS Brand - Stain & Odor Remover, 6 pack, 32 fluid ounce bottles (192 fluid ounces total)",89,4.62
PetSafe Small 2-Way Locking Cat Door,89,3.91
"Proden PlaqueOff Dental Care for Dogs and Cats, 180gm",89,4.28
"Soft Claws for Cats - CLS (Cleat Lock System), Size Medium, Color Clear",89,3.8
"Cadet 1-Pound Bully Sticks for Dogs, 4 to 6-Inch",89,4.18
Guardian Cotton Web Training Pet Lead Leash - Black,89,4.54
North States Supergate Extra Wide Gate,89,4.02
Loofa Dog Plush Dog Toy (Colors May Vary),88,3.62
"Super Pet 7-Inch Run-About Ball, Clear",88,4.03
PupLight Dog Safety Light,88,4.41
Petstep PetSTEP Folding Pet Ramp,88,4.36
"Nylabone Dura Chew Ring Dog Chew Toy, Original Flavor, Giant",88,4.39
Tuffy's Ultimate Ring Dog Toy,88,3.89
"Kyjen Fire Hose Squeak 'n Fetch Dog Toy, Large, Red",88,2.67
Cherry Valley Feeders Bird Feeder,87,3.59
Hydor 25W Submersible Aquarium Heater - Original Theo,87,4.01
"Tetra 77854 Whisper Air Pump, 60-Gallon",87,3.92
JW Pet iN Action Dog Toy,87,3.53
"Zuke's Z-Filets High Protein Dog Treats, 3.25 Ounce Bag",87,4.49
25 Foot - Python No Spill Clean and Fill Aquarium Maintenance System,87,4.74
Petstages Puppy Cuddle Pal,87,4.03
"DVM Pharmaceuticals Malaseb Pet Shampoo, 16.9-Ounce",86,4.66
SmartCat 3844 Kitty?s Garden Edible Grass Planter,86,3.74
Marineland Rite Size Cartridge,86,4.34
Zoo Med Natural Aquatic Turtle Food,86,4.05
"KONG Puppy Kong Toy, Small, Assorted Pink/Blue",85,4.32
Redbarn Peanut Butter Filled Bone,85,4.01
Viatek BC16G Super Bark Stop,85,2.33
Perfect Pet Tubby Kat Cat Door with 4 Way Lock And LEXAN Flap,85,4.44
Fashion Pet Puddles Rain Dog Poncho,85,3.88
Hartz UltraGuard Flea & Tick Drops For Dogs,84,1.85
"Wag Bag Pet Bed in Assorted Prints - 27in. x 36in., Model# WP2736-578",84,3.33
"Kyjen Squeakin' Animals Replacement Squirrels for Hide-A-Squirrel Toy, 3-Pack - Large",84,4.37
"Precious Cat Cat Attract Problem Cat Training Litter, 20 pound bag",84,4.37
Scroll Work Double Diner 2Qt,84,4.45
"Millers Forge Stainless Steel Dog Nail Clipper, Plier Style",84,4.25
Hartz Home Protection Pads for Dogs,84,4.05
"Soft Claws for Cats - CLS (Cleat Lock System), Size Medium, Color Pink",84,4.18
Bowsers Donut Dog Bed,84,5.0
biOrb Aquarium Kit with Light Fixture,83,3.66
Automatic Fish Feeder - Digital Timer and Adjustable Food Hopper - By AquaChef,83,3.73
Petmate Vari Kennel,83,3.98
Cadet 1-Pound Bag 100-Percent Natural Beef Tendons Canine Treats,83,3.36
"Zoo Med ReptiTherm Under Tank Heater, Small",83,3.87
"Richell 94135 Freestanding Pet Gate with Autumn Matte Finish, Small",83,4.53
North States Pressure Mount Diamond Mesh Wood Gate,83,3.29
"Sentry HC Petromalt Malt Flavored Cat Hairball Treatment, 4.4-Ounce",82,2.77
Seachem Prime 500ml,82,4.76
"Solid Gold Seameal Mineral and Vitamin Supplement for Horses, Dogs, and Cats (1 pound)",82,4.51
Birdscapes Tall Tulip Garden Lantern Bird Feeder,82,3.73
Easy Rider Car Large Harness for Dogs,82,3.73
"Midwest Canine Camper Day Tripper Soft Sided Crate, 25 Inches by 18 Inches by 21 Inches, Tan",82,4.26
Quick Finder Nail Clipper,82,1.74
Joint MAX Triple Strength Soft Chews (240 Chews),81,4.41
"Virtually Indestructible Best Ball for Dogs, 10-inch",81,4.19
Grannicks Bitter Apple 8oz w/Sprayer,81,3.56
"EQyss Micro-Tek Medicated Pet Shampoo, 16-Ounce",81,4.33
Drinkwell Aqua Garden,81,2.62
"Petmate Pet Hair Magnet, Yellow",80,3.8
"Bergan Twinkle Replacement Ball, Colors Vary",80,4.1
Arctic Paws 2-1/2-Pound Yummy Chummies Original Bulk treats,80,4.26
ScoopFree Automatic Litter Box Privacy Hood,80,4.44
"Hamilton 1-Inch Adjustable Dog Collar, Large, Fits 18-Inch by 26-Inch",80,3.38
"Petmate Durabed Elevated Pet Bed Extra-Large, Black",80,3.86
Super Pet My First Home Complete Starter Kit,79,3.66
"Precision Pet SnooZZy Original Fleece Pet Bed, Cream",79,4.24
Sam's Yams Veggie Rawhide Sweet Potato Dog Treats,79,4.37
"Super Pet Hamster Silent Spinner 6-1/2-Inch Regular Exercise Wheel, Colors Vary",79,3.72
Gulpy Water Dispenser for Pet - 20 oz.,79,4.37
Mr. Herzher's Small Wicker Pet Residence,78,4.44
Set of 2 Cat Cubes (Red & Blue),78,4.51
Petmate Booda Dome Litter Box,78,4.18
Firstrax 6-Foot Glo'n Go Leash,78,2.69
"Sporn Double Dog Leash - Two Dog Leash Med- XL, black",78,4.28
Petmate Stainless Style Pet Bowl,77,4.47
"Pet Gear Tri-Fold Pet Ramp for cats and dogs up to 200-pounds, Grey",77,3.57
"Petmate 29530 Carpeted Pet Steps, Almond",77,4.23
Flexi Leash Accessory Bag-Black,77,4.51
Zanies Cat Cheese Wedge Display with 60 Rainbow Furry Mice,77,4.23
Premier Pet Treat Pouch,76,4.25
StarMark Small Training Collar,76,3.76
Prong Training Collar,76,3.49
"Nutri-Pet Research Nupro Dog Supplement, 5-Pound",76,4.59
"Petmate Kitty Kat Condo, Mouse Gray",76,4.16
Nutramax Cosequin DS Double Strength Capsules - 250 Count,76,4.75
Booda Scoop'N Hide Litter Scoop,76,3.57
Pet Piller,76,4.0
"Tetra 26160 Whisper Bio-Bag Cartridge, Unassembled, Medium, 12-Pack",76,4.53
